dblp_id,google_scholar_id
conf/vldb/ChakrabartiDAR97,8IR1NrQ4zm8J
conf/vldb/AggarwalHWY03,yFMUnqONfGwJ
journals/vldb/KellerB96,tVoqZpEEHv8J
conf/sigmod/ChawatheRGW96,Xz0ZPMLOwcgJ
conf/vldb/FukudaMMT96,B8_0dK37qcsJ
journals/sigmod/MeltzerC98,77mq-gn4LiAJ
conf/vldb/KamelF94,SuPC457J-a0J
journals/sigmod/JensenCEGHJ94,NdeiWfmwM00J
journals/sigmod/JensenCEGHJ94,gwV15NcKT9IJ
journals/sigmod/JensenCEGHJ94,yK4VALoQjlgJ
conf/sigmod/Chakrabarti99,url:http://portal.acm.org/ft_gateway.cfm3Fid3D30423126type3Dpdf26dl3DGUIDE26dl3DACM26CFID3D1111111126CFTOKEN3D2222222
conf/sigmod/SelfridgeSW96,V2Wysmw3ti4J
conf/vldb/OzsuVU98,WAivXgeI8vIJ
conf/sigmod/LuWYBLY02,JKQ1qE-naxQJ
conf/vldb/ShethKMWDLPLS96,vGeegEztVl8J
conf/vldb/LeeWMS02,c-MP8R47zVIJ
journals/sigmod/Eisenberg96,yzlys0OQkt8J
journals/sigmod/MukhopadhyayGS03,url:http://portal.acm.org/ft_gateway.cfm3Fid3D77698926type3Dpdf26dl3DGUIDE26dl3DACM26CFID3D1111111126CFTOKEN3D2222222
conf/vldb/YanG95,lr_Kq9SZLY8J
conf/vldb/ZhangL98,ZjHAEBJYahAJ
conf/vldb/GuPS00,mRWLGqueLNsJ
conf/sigmod/LometW98,5SmDfJWfFvUJ
conf/sigmod/ChaudhuriN98,eHM4OCdJA9YJ
conf/sigmod/TsurUACMNR98,aym35wwVDlQJ
journals/vldb/Guting94,NE_HjaA2eAAJ
journals/vldb/OzsuPSILM95,epUf9ogilogJ
conf/vldb/TanGO99,CcTZvs8xd2sJ
conf/vldb/LohmanL02,jC-TppzLPuEJ
conf/vldb/KornSFSP96,xQU9GXs4k50J
conf/sigmod/LabrinidisR00,DKUouEkK_b4J
conf/sigmod/AdyaGLM95,FlE1JdgElGQJ
conf/vldb/ZhouLZLZJT01,fJQ7Col2vYsJ
journals/sigmod/VetterliVS00,dAF5Z861mZgJ
journals/sigmod/Hellerstein03,5FSG85HbUygJ
conf/vldb/AshwinRSSS97,vitgygjdz3AJ
conf/vldb/LevyRO96,3v8fGnfTuVMJ
journals/tods/WolfsonJH97,tjSQMcZ1iIcJ
journals/tods/WolfsonJH97,lcqKNOEczxsJ
journals/sigmod/DreyerDS94,GCf11c7YuucJ
conf/sigmod/ZhaoDNS98,6AK0GF7jAtsJ
conf/vldb/DagevilleZ02,x9bmOZxOlE8J
journals/sigmod/HasanFV96,vIBvTfMLL4UJ
journals/sigmod/Bertram94,qaSgL5tVq1AJ
journals/tods/CasatiCPP99,bWa_AKkBbn8J
conf/vldb/Hamilton99,_zPTedzhFhQJ
conf/vldb/NgH94,WjnMy2NiG10J
conf/vldb/ChoG00,Gvb8XPHg9nUJ
conf/vldb/LometT95,P7GUGC5bz7wJ
conf/sigmod/SzalayGKT00,4yvrgPBJUBYJ
conf/vldb/YangG01,0Chz95gOxHMJ
conf/vldb/DarFJST96,gkbM-pRDcSwJ
conf/vldb/Amer-YahiaCD98,W0L9nOcuhmIJ
conf/vldb/LabrinidisR01,3Ozte0ucNJAJ
conf/sigmod/RothAHCCFSTW96,QzW5By67KwcJ
conf/sigmod/Doherty98,7aUag74jtdIJ
conf/vldb/BerchtoldKK96,G__T5t9i4ZwJ
journals/sigmod/YeungHL94,yQv94p3tE1IJ
conf/vldb/Tygar98,kKwsIC5HmsUJ
conf/sigmod/HungYK96,3gpc7dPy-ucJ
conf/sigmod/Fegaras98,XVtlJYx2G_wJ
conf/vldb/IoannidisLGP96,jazpbJzP6k8J
conf/sigmod/FabretJLPRS01,NDTjtWuhzbQJ
conf/sigmod/QuassWGHLMNRRAUW96,cJgYQWElaAgJ
conf/sigmod/ChaudhuriMN98,pVsFKVZNgD4J
journals/sigmod/AbelTK97,yK-yqVAiXekJ
conf/sigmod/GodfreySE98,f5cqkpUXl0kJ
conf/vldb/MoserKK95,RAKdMsfUX6QJ
conf/vldb/BaralisW94,q-td2YANr18J
journals/sigmod/Colliat96,FP-ribG9oVsJ
conf/vldb/AboulnagaAN01,OBbDFGQNEDQJ
conf/sigmod/FernandezFKLS98,fNDX0gaFmB0J
conf/vldb/SeidlK97,5Ine3RRoUCcJ
conf/vldb/HinneburgAK00,1ambq2RMGMoJ
conf/vldb/TriantafillouP97,L7vxP-dXbukJ
conf/vldb/YanA94,OcLgpNTQxIsJ
journals/sigmod/Camps02,JclQFC-1s18J
conf/vldb/FlescaFM03,LXjSnbxB7EsJ
conf/vldb/RothS97,4zhibciR4QoJ
conf/vldb/RothS97,GRLUYc-u9X8J
journals/sigmod/McClatcheyV97,mbFxAqrWXbYJ
conf/sigmod/ZhangMCMR02,rvZQMrCOQ1MJ
conf/sigmod/Grust02,FYfyf-SjQNIJ
conf/vldb/Dasgupta96,A0c2Gd1lP5QJ
conf/sigmod/AndersonBKW98,j6v2b9hN-R4J
conf/sigmod/AndersonBKW98,zabWzVjkZNYJ
conf/vldb/PfoserJT00,YBNEZgmh540J
conf/sigmod/ArefBV95,ht_8Iq3SZ80J
conf/sigmod/BabcockCD03,mbhZ3gSR3NMJ
conf/vldb/JohnsonA00,EPVkQkFM2osJ
conf/sigmod/ZhangNBB94,bymQ_6SSse4J
journals/sigmod/SilberschatzSU96,_MXfp9GHEqQJ
journals/sigmod/BabuW01,VLOGPMjpyZ0J
conf/vldb/Dayal99,url:http://portal.acm.org/citation.cfm3Fid3D645925.671502
journals/tods/ChaudhuriS99,QCFUIVkspywJ
conf/vldb/ManolopoulosT01,BqSvyuGWls8J
conf/sigmod/AnkerstBKS99,GFTU2PvKY_gJ
journals/sigmod/ShanmugasundaramSKKVNT01,wTJy5XquCpsJ
journals/vldb/EyalM01,ntrSSBumclMJ
journals/sigmod/BertinoEH01,url:http://portal.acm.org/ft_gateway.cfm3Fid3D37368426type3Dpdf26dl3DGUIDE26dl3DACM26CFID3D1111111126CFTOKEN3D2222222
conf/vldb/RamakrishnanR96,3y1e-H-FdC0J
conf/sigmod/GuhaRS98,oWVyLUIy9JwJ
journals/sigmod/Chen94,url:http://portal.acm.org/ft_gateway.cfm3Fid3D18746026type3Dpdf26coll3DGUIDE26dl3DACM26CFID3D1111111126CFTOKEN3D2222222
journals/sigmod/MillerHHYHFP01,Zb2SExJNfkMJ
journals/sigmod/CeriFP99,zCbDZVfxWhAJ
journals/sigmod/BerndtssonH96,url:http://portal.acm.org/ft_gateway.cfm3Fid3D38188926type3Dpdf26dl3DGUIDE26dl3DACM26CFID3D1111111126CFTOKEN3D2222222
conf/sigmod/AtzeniT97,i2LI1TWifbYJ
conf/sigmod/BreunigKKS01,h-tyLTytlh4J
conf/sigmod/BrinMUT97,77hnYp9ky9IJ
conf/vldb/OlstonW00,1uei4ivV-PgJ
conf/sigmod/BrunoKS02,4pZ4Shr2bMwJ
conf/sigmod/HaasH01,9wQ6RWWcHRIJ
conf/sigmod/DarR94,TtV6gGLQ9NMJ
conf/vldb/ZhuS02,iuyRrJJDBcIJ
conf/vldb/MendelzonV00,AQLsLBctUI4J
journals/tods/CeriFPT94,DoS7NkmUyYgJ
journals/sigmod/BertinoEH03,4m-WmWU5iGYJ
conf/vldb/GarofalakisG01,PIhBWXtNTvUJ
conf/vldb/Mohan01,6rkYIagTMckJ
journals/sigmod/ONeilG95,YNkY3rC_4zQJ
conf/sigmod/DattaDRTV01,1ivmtE5W6FsJ
conf/vldb/Garcia-MolinaLY98,lWVWAhlsyYYJ
conf/sigmod/LeflerSW96,4b12cZc8QK4J
conf/sigmod/LakshmananNHP99,fZSRCe60AUcJ
conf/vldb/MadhavanH03,mu31RuCR_E4J
conf/sigmod/WolfsonSXZC99,4dbCEDwsluQJ
conf/vldb/ChengGKLLQS99,p4Q8x9UmngkJ
journals/sigmod/SayginVC01,url:http://portal.acm.org/ft_gateway.cfm3Fid3D60427126type3Dpdf26dl3DGUIDE26dl3DACM26CFID3D1111111126CFTOKEN3D2222222
conf/vldb/DonjerkovicR99,Eq1w4LPv_igJ
conf/sigmod/MassariPSC95,O2FrN68p5PUJ
conf/sigmod/RadekeBBEKKN95,Tkq6NymsVxsJ
conf/sigmod/Edelstein95,url:http://portal.acm.org/citation.cfm3Fid3D223868
journals/vldb/NybergBCGL95,A1phylxPkl4J
conf/sigmod/AfratiLU01,k7zpSukSfYsJ
conf/sigmod/WoelkBJOTU95,--PsNHvlpbIJ
conf/vldb/RohmBSS02,Lp_ozOkFI30J
conf/vldb/CarneyCCCLSSTZ02,HLd7exz0QagJ
conf/sigmod/Hidber99,Rn-E82gM1RQJ
conf/sigmod/FaloutsosRM94,5fCkUaG8A-gJ
conf/vldb/Deshpande00,2DiLFd0rgPgJ
conf/sigmod/KanthAS98,4O5JTAQZf7IJ
conf/sigmod/SunAA03,wR6CGftUyH0J
conf/vldb/ChristopheBPV00,ci71yD2UE8oJ
conf/vldb/ShivakumarGC98,GHz2PmQwW2UJ
conf/vldb/GilbertKMS01,9rDLhwM_4mYJ
journals/sigmod/DrewHKKLLLSW95,9fcJjh5vHn8J
conf/vldb/KietzRS97,L4k3lAWc-JgJ
conf/sigmod/CookKWZ96,5MTgNlhnyTgJ
conf/sigmod/TomasicABKNR97,6CpWnsUqJNIJ
conf/vldb/ParkMC02,WFmae47kgN4J
conf/vldb/MartinC94,Ur6-XAMj3tIJ
conf/sigmod/AdaliBSS98,YQ90BYSVqbsJ
conf/sigmod/BersonGM95,AdvsjAZhCc8J
conf/sigmod/BersonGM95,-A4ypXVd348J
journals/tods/TaoSP03,FBp7oibu4ygJ
conf/sigmod/AdaliCPS96,npAaKsmFlpcJ
conf/sigmod/Bierman03,vQcfluHWCeAJ
conf/sigmod/CatarciS01,frbExwv4DiwJ
conf/sigmod/DeHaanTCO03,uq-pFFsnBusJ
conf/sigmod/FaloutsosL95,dRjSn10qk9wJ
conf/sigmod/HsiaoN00,iY5wlS4jsg0J
conf/sigmod/MarklL02,b7IXEwTLIHAJ
conf/sigmod/SeshadriHPLRSSS96,Elpbl8vygYoJ
conf/sigmod/ZouS96,qPCh8M_RSwEJ
conf/vldb/ChakrabartiGRS00,3mVAyjsRXiwJ
conf/vldb/CiliaHB02,_aEC8CgKod0J
conf/vldb/CohenMKS03,gRoNHWLN1WMJ
conf/vldb/GarofalakisG02,S6PWjHRFORYJ
conf/vldb/GottlobKP02,e5Gm5upjQnkJ
conf/vldb/HoelS95,k7DhyrzUMSoJ
conf/vldb/JagatheesanMPW03,InqySB8bkKkJ
conf/vldb/KornMZ03,hBoL6DaFUMYJ
conf/vldb/LaneEN00,EUNYWV7uBTwJ
conf/vldb/PapadiasZMT03,hJ8VP7FyOL0J
conf/vldb/PapakonstantinouAG96,BIF2jRwmL0EJ
conf/vldb/Schnase00,OdaRU442nm0J
conf/vldb/SrikantA95,v7i1i5y_nHgJ
conf/vldb/WuYCT95,A5s_U6Ixg3EJ
journals/sigmod/ClementLGMK97,To_EjIKwfSAJ
journals/sigmod/ConradEHRSSSV97,SBnqbyQF3SoJ
journals/sigmod/DoanPSB97,fdM1W8iEk_YJ
journals/sigmod/HadzilacosT97,p_k0_rphEOcJ
journals/sigmod/KeetonPH98,9xH94cKF-CYJ
journals/sigmod/RosenthalS99,AaKiSc1klw8J
journals/tods/ChakrabartiKMP02,_nOW6fmEcTEJ
journals/tods/RaschidL96,rUpu2pcFa8cJ
journals/tods/TariSS97,iMM-Ho95algJ
journals/tods/TariSS97,wGAAD7CTrnMJ
journals/vldb/TenienteO95,G9tB3j46MoEJ
conf/sigmod/CareyDFHMNSSTTWZ94,dP-pHDZ7oawJ
