_id,id_l,id_r,name_l,addr_l,city_l,phone_l,type__l,name_r,addr_r,city_r,phone_r,type__r,type_match_pred,city_contain_pred,name_edit_pred,name_contain_pred,name_unmatch_pred,addr_contain_pred,addr_edit_pred,addr_num_match_pred,addr_unmatch_pred,phone_match_pred,city_unmatch_pred,phone_area_code_unmatch_pred
0,543,1,'grill on the alley','9560 dayton way','los angeles',310/276-0615,american,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,1,-1,0,0,0,0,0,-1,-1,-1,-1,0
1,549,1,'the palm','9001 santa monica blvd.','los angeles',310/550-8811,american,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,1,-1,0,0,0,0,0,-1,0,-1,-1,0
2,551,1,'philippe\'s the original','1001 n. alameda st.','los angeles',213/628-3781,american,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
3,595,1,'sign of the dove','1110 3rd ave. at 65th st.','new york',212/861-8080,american,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
4,597,1,'tavern on the green','in central park at 67th st.','new york',212/873-3200,american,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,1,-1,0,0,0,0,0,0,-1,-1,-1,-1
5,695,1,'rj\'s the rib joint','252 n. beverly dr.','los angeles',310/274-7427,american,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,1,-1,-1,0,0,0,0,-1,-1,-1,-1,0
6,703,1,'the mandarin','430 n. camden dr.','los angeles',310/859-0926,asian,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,0
7,894,1,'the coffee pot','350 9th ave. at 49th st.','new york',212/265-3566,'coffee bar','apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
8,895,1,'the savannah club','2420 broadway at 89th st.','new york',212/496-1066,american,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
9,927,1,'dante\'s down the hatch  buckhead','3380 peachtree rd.',atlanta,404/266-1600,continental,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
10,928,1,'dante\'s down the hatch','underground underground mall  underground atlanta',atlanta,404/577-1800,continental,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
11,960,1,'battista\'s hole in the wall','4041 audrie st. at flamingo rd.','las vegas',702/732-1424,italian,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
12,983,1,'the bacchanal','3570 las vegas blvd. s','las vegas',702/731-7525,'only in las vegas','apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1
13,1036,1,'pacific pan pacific hotel','500 post st.','san francisco',415/929-2087,french,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
14,1054,1,'the heights','3235 sacramento st.','san francisco',415/474-8890,french,'apple pan  the','10801 w. pico blvd.','west la',310-475-3585,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
15,543,4,'grill on the alley','9560 dayton way','los angeles',310/276-0615,american,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,0,0,0,0,0,-1,-1,-1,-1,0
16,549,4,'the palm','9001 santa monica blvd.','los angeles',310/550-8811,american,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,-1,0,0,0,0,-1,0,-1,-1,0
