id,title,screen_size_diagonal,response_time,supported_aspect_ratio,contrast_ratio_static,screen_brightness,supported_resolution,screen_type,number_of_colors
www.odsi.co.uk//139,"Gain the NEC LCD Screen, NEC P402 40 inch Professional-Grade Large-Screen Display","NEC MultiSync P402 - 40"" Class ( 40"" viewable ) LCD flat panel display",8 ms,16:9 16:9,3000:1,700 cd/m2,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1280 x 960, 1280 x 720, 720 x 400, 1680 x 1050 (WSXGA+), 1920 x 1080, 1280 x 800, 1400 x 1050",LCD flat panel display LCD flat panel display,16.7 million colours
www.odsi.co.uk//105,"Purchase the E424, NEC E424 Display Solutions, NEC Displays MultiSync E424 (42 inch) Edge LED Backlit LCD Display here at odsi.co.uk","NEC MultiSync E424 - 42"" LED-backlit LCD flat panel display",6.5 ms,16:9 16:9,3000:1,350 cd/m2,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 720, 720 x 400, 1920 x 1080, 1280 x 800",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//214,3M Multi-Touch Display M2467PW 98-0003-3786-9 Microtouch,"24""",16 ms,Widescreen - 16:9,5000:1,250 cd/m2,FullHD 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//26,"NEC-X552S-   NEC LCD X552S Display  55 Inch TV Screen is well matched for retail, hospitality, and government  applications","NEC MultiSync X552S - 55"" Class ( 54.5"" viewable ) LED-backlit LCD flat panel display",8 ms,16:9 16:9,4000:1,500 cd/m2,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1280 x 960, 1280 x 720, 720 x 400, 1680 x 1050 (WSXGA+), 1920 x 1080, 1280 x 800, 1400 x 1050, 720 x 576",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//138,"NEC-60003417-NEC MultiSync EA294WMi - 29"" - LED-Backlit LCD Monitor","NEC MultiSync EA294WMi - LED monitor - 29""",14 ms 14 ms,Widescreen - 21:9 Widescreen - 21:9,1000:1 1000:1,300 cd/m2 300 cd/m2,2560 x 1080 2560 x 1080,LED-backlit LCD monitor / TFT active matrix,16.8 million colours 16.8 million colours
www.odsi.co.uk//182,,"23""",5 ms 5 ms,Widescreen - 16:9 Widescreen Widescreen - 16:9,1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic),250 cd/m2 250 cd/m2,FullHD 1920 x 1080 1920 x 1080 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,16.7 million colours 16.7 million colours
www.odsi.co.uk//140,"Sharp PN-E602 - 60"" LED-Backlit LCD Flat Panel Display","Sharp PN-E602 - 60"" LED-backlit LCD flat panel display",6 ms,16:9 16:9,4000:1,450 cd/m2,"1366 x 768, 1024 x 768 (XGA), 800 x 600 (SVGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1360 x 768, 1920 x 1080, 1280 x 800, 1400 x 1050",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,Up to 1.06 billion colours
www.odsi.co.uk//108,Sharp LL-S201A - 20-inch-class touchscreen LCD Monitor,"19.5""",5 ms (grey-to-grey),Widescreen - 16:9,3000:1,250 cd/m2,FullHD 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//29,"NEC-60002697-NEC MultiSync PA241W-BK - 24"" -LED Backlit LCD Monitor","NEC MultiSync PA241W-BK - LCD monitor - 24""",16 ms (typical rise + fall); 8 ms (grey-to-grey) 16 ms (typical rise + fall); 8 ms (grey-to-grey),Widescreen - 16:10 Widescreen - 16:10,1000:1 1000:1,360 cd/m2 360 cd/m2,FullHD 1920 x 1200 at 60 Hz FullHD 1920 x 1200 at 60 Hz,LCD monitor / TFT active matrix,1.07 billion colours 1.07 billion colours
www.odsi.co.uk//219,"HP F0W81AT#ABU EliteDisplay E241i 23"" 1920x1080 VGA DVI-D DisplayPort LED Monitor","24""",8 ms (grey-to-grey) 8 ms (grey-to-grey),Widescreen - 16:10 Widescreen - 16:10,1000:1 / 5000000:1 (dynamic) 1000:1 / 5000000:1 (dynamic),250 cd/m2 250 cd/m2,1920 x 1200 at 60 Hz 1920 x 1200 at 60 Hz,LED-backlit LCD monitor,16.7 million colours 16.7 million colours
